Дата создания отчета: 30-11-2021 10:54:06
	ID   User ID	Time
  	2	null	2021-11-25 23:00:13.0
	3	null	2021-11-25 23:21:00.0
	5	null	2021-11-25 23:23:22.0
	6	null	2021-11-25 23:42:22.0
	7	null	2021-11-25 23:45:00.0
	8	null	2021-11-25 23:49:56.0
	9	null	2021-11-25 23:50:46.0
	10	null	2021-11-25 23:53:15.0
	11	null	2021-11-28 11:18:17.0
	12	null	2021-11-28 11:21:06.0
	14	null	2021-11-28 11:21:23.0
	15	null	2021-11-28 11:21:36.0
	16	null	2021-11-28 11:22:06.0
	17	null	2021-11-28 11:27:34.0
	18	null	2021-11-28 11:28:18.0
	20	null	2021-11-28 11:33:45.0
	21	null	2021-11-28 11:34:28.0
	22	null	2021-11-28 11:53:27.0
	23	null	2021-11-28 11:53:51.0
	24	null	2021-11-28 11:55:53.0
	25	null	2021-11-28 11:58:11.0
	26	null	2021-11-28 11:59:25.0
	27	null	2021-11-28 12:00:32.0
	28	null	2021-11-28 12:01:53.0
	29	null	2021-11-28 12:02:07.0
	30	null	2021-11-28 12:06:06.0
	31	null	2021-11-28 12:07:21.0
	32	null	2021-11-28 12:09:00.0
	33	null	2021-11-28 12:09:05.0
	34	null	2021-11-28 12:10:34.0
	35	null	2021-11-28 12:13:27.0
	36	null	2021-11-28 12:18:51.0
	37	null	2021-11-28 12:23:24.0
	38	null	2021-11-28 12:23:47.0
	40	null	2021-11-28 12:29:11.0
	41	null	2021-11-28 12:30:56.0
	42	null	2021-11-28 12:32:02.0
	43	null	2021-11-28 12:32:20.0
	44	null	2021-11-28 12:32:52.0
	45	null	2021-11-28 12:32:59.0
	46	null	2021-11-28 12:33:55.0
	47	null	2021-11-28 12:34:37.0
	50	null	2021-11-28 12:41:58.0
	51	null	2021-11-28 12:42:46.0
	52	null	2021-11-28 12:46:53.0
	53	null	2021-11-28 12:48:12.0
	54	null	2021-11-28 12:56:28.0
	55	null	2021-11-28 12:56:36.0
	56	null	2021-11-28 13:05:43.0
	57	null	2021-11-28 14:41:31.0
	58	null	2021-11-28 14:42:27.0
	59	null	2021-11-28 14:43:47.0
	60	null	2021-11-28 17:20:45.0
	61	null	2021-11-28 17:26:13.0
	62	null	2021-11-28 17:27:33.0
	63	null	2021-11-28 17:32:13.0
	64	null	2021-11-29 02:01:18.0
	65	null	2021-11-29 02:01:30.0
	66	null	2021-11-29 02:02:03.0
	67	null	2021-11-29 02:02:58.0
	68	null	2021-11-29 11:40:33.0
	69	null	2021-11-29 11:41:02.0
	70	null	2021-11-29 11:41:17.0
	71	null	2021-11-30 10:49:58.0
